2026-02-23 00:16:40,809 [BLOCK] No wallet key — monitor only
2026-02-23 00:16:40,937 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:16:40,938 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:16:46,196 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x995d8bfc7a3ff0b1ae4591697337496551116be7)
2026-02-23 00:17:33,019 [BLOCK] Wallet: 0xdc118c4e1284e61e4d5277936a64B9E08Ad9e7EE
2026-02-23 00:17:33,021 [BLOCK] Block watcher thread started
2026-02-23 00:17:33,140 [BLOCK] WS error: server rejected WebSocket connection: HTTP 429
2026-02-23 00:17:33,140 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:17:38,315 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0xb000c77a5f301dddd55effe89e0c0c08999fe885)
2026-02-23 00:30:19,383 [BLOCK] Block scan took 10.67s — too slow, reduce watched pairs
2026-02-23 00:30:29,099 [BLOCK] Block scan took 9.72s — too slow, reduce watched pairs
2026-02-23 00:30:38,732 [BLOCK] Block scan took 9.63s — too slow, reduce watched pairs
2026-02-23 00:30:49,429 [BLOCK] Block scan took 10.70s — too slow, reduce watched pairs
2026-02-23 00:30:59,052 [BLOCK] Block scan took 9.62s — too slow, reduce watched pairs
2026-02-23 00:31:08,667 [BLOCK] Block scan took 9.61s — too slow, reduce watched pairs
2026-02-23 00:31:19,240 [BLOCK] Block scan took 10.57s — too slow, reduce watched pairs
2026-02-23 00:31:28,832 [BLOCK] Block scan took 9.59s — too slow, reduce watched pairs
2026-02-23 00:31:39,653 [BLOCK] Block scan took 10.82s — too slow, reduce watched pairs
2026-02-23 00:31:48,748 [BLOCK] Block scan took 9.10s — too slow, reduce watched pairs
2026-02-23 00:31:59,823 [BLOCK] Block scan took 11.07s — too slow, reduce watched pairs
2026-02-23 00:32:08,627 [BLOCK] Block scan took 8.80s — too slow, reduce watched pairs
2026-02-23 00:32:19,324 [BLOCK] Block scan took 10.70s — too slow, reduce watched pairs
2026-02-23 00:32:28,969 [BLOCK] Block scan took 9.64s — too slow, reduce watched pairs
2026-02-23 00:32:39,557 [BLOCK] Block scan took 10.59s — too slow, reduce watched pairs
2026-02-23 00:32:39,558 [BLOCK] WS error: no close frame received or sent
2026-02-23 00:32:39,558 [BLOCK] Rotated WS to wss://base-mainnet.g.alchemy.com/v2/demo
2026-02-23 00:32:44,690 [BLOCK] Subscription response: {"message":"This team has exceeded its limit of 2000 open WebSockets. Please close some other connections first.","state":"FAILED","code":1008}
2026-02-23 00:32:48,705 [BLOCK] WS error: received 1008 (policy violation) This team has exceeded its limit of 2000 open WebSockets. Please close some other connections first.; then sent 1008 
2026-02-23 00:32:48,705 [BLOCK] Rotated WS to wss://base.drpc.org
2026-02-23 00:32:53,871 [BLOCK] Subscribed to blocks via wss://base.drpc.org (sub_id: 0x4e1f9bf267ec598c938b1101ad66acd1d3846ba9)
2026-02-23 00:33:03,146 [BLOCK] Block scan took 9.24s — too slow, reduce watched pairs
2026-02-23 00:33:12,775 [BLOCK] Block scan took 9.63s — too slow, reduce watched pairs
2026-02-23 00:33:23,529 [BLOCK] Block scan took 10.75s — too slow, reduce watched pairs
2026-02-23 00:33:32,665 [BLOCK] Block scan took 9.14s — too slow, reduce watched pairs
2026-02-23 00:33:42,497 [BLOCK] Block scan took 9.83s — too slow, reduce watched pairs
2026-02-23 00:33:53,404 [BLOCK] Block scan took 10.91s — too slow, reduce watched pairs
2026-02-23 00:34:02,655 [BLOCK] Block scan took 9.25s — too slow, reduce watched pairs
2026-02-23 00:34:13,441 [BLOCK] Block scan took 10.79s — too slow, reduce watched pairs
2026-02-23 00:34:22,624 [BLOCK] Block scan took 9.17s — too slow, reduce watched pairs
2026-02-23 00:34:33,495 [BLOCK] Block scan took 10.87s — too slow, reduce watched pairs
2026-02-23 00:34:42,463 [BLOCK] Block scan took 8.97s — too slow, reduce watched pairs
2026-02-23 00:34:53,184 [BLOCK] Block scan took 10.72s — too slow, reduce watched pairs
2026-02-23 00:35:02,794 [BLOCK] Block scan took 9.61s — too slow, reduce watched pairs
2026-02-23 00:35:13,545 [BLOCK] Block scan took 10.75s — too slow, reduce watched pairs
2026-02-23 00:35:22,884 [BLOCK] Block scan took 9.34s — too slow, reduce watched pairs
2026-02-23 00:35:32,934 [BLOCK] Block scan took 10.05s — too slow, reduce watched pairs
2026-02-23 00:35:42,658 [BLOCK] Block scan took 9.72s — too slow, reduce watched pairs
2026-02-23 00:35:53,449 [BLOCK] Block scan took 10.79s — too slow, reduce watched pairs
2026-02-23 00:36:03,055 [BLOCK] Block scan took 9.61s — too slow, reduce watched pairs
2026-02-23 00:36:12,746 [BLOCK] Block scan took 9.69s — too slow, reduce watched pairs
2026-02-23 00:36:23,419 [BLOCK] Block scan took 10.67s — too slow, reduce watched pairs
2026-02-23 00:36:32,922 [BLOCK] Block scan took 9.50s — too slow, reduce watched pairs
2026-02-23 00:36:42,536 [BLOCK] Block scan took 9.61s — too slow, reduce watched pairs
2026-02-23 00:36:53,266 [BLOCK] Block scan took 10.73s — too slow, reduce watched pairs
2026-02-23 00:37:02,844 [BLOCK] Block scan took 9.58s — too slow, reduce watched pairs
2026-02-23 00:37:13,658 [BLOCK] Block scan took 10.81s — too slow, reduce watched pairs
2026-02-23 00:37:22,776 [BLOCK] Block scan took 9.12s — too slow, reduce watched pairs
2026-02-23 00:37:32,579 [BLOCK] Block scan took 9.80s — too slow, reduce watched pairs
2026-02-23 00:37:42,730 [BLOCK] Block scan took 10.15s — too slow, reduce watched pairs
2026-02-23 00:37:53,488 [BLOCK] Block scan took 10.75s — too slow, reduce watched pairs
2026-02-23 00:38:02,598 [BLOCK] Block scan took 9.11s — too slow, reduce watched pairs
2026-02-23 00:38:13,300 [BLOCK] Block scan took 10.70s — too slow, reduce watched pairs
2026-02-23 00:38:23,041 [BLOCK] Block scan took 9.74s — too slow, reduce watched pairs
2026-02-23 00:38:32,721 [BLOCK] Block scan took 9.68s — too slow, reduce watched pairs
2026-02-23 00:38:43,411 [BLOCK] Block scan took 10.69s — too slow, reduce watched pairs
2026-02-23 00:38:53,014 [BLOCK] Block scan took 9.60s — too slow, reduce watched pairs
2026-02-23 00:39:02,682 [BLOCK] Block scan took 9.67s — too slow, reduce watched pairs
2026-02-23 00:39:13,468 [BLOCK] Block scan took 10.79s — too slow, reduce watched pairs
2026-02-23 00:39:22,478 [BLOCK] Block scan took 9.01s — too slow, reduce watched pairs
2026-02-23 00:39:33,399 [BLOCK] Block scan took 10.92s — too slow, reduce watched pairs
2026-02-23 00:39:42,487 [BLOCK] Block scan took 9.09s — too slow, reduce watched pairs
2026-02-23 00:39:53,284 [BLOCK] Block scan took 10.80s — too slow, reduce watched pairs
2026-02-23 00:40:02,932 [BLOCK] Block scan took 9.65s — too slow, reduce watched pairs
2026-02-23 00:40:12,850 [BLOCK] Block scan took 9.92s — too slow, reduce watched pairs
2026-02-23 00:40:23,465 [BLOCK] Block scan took 10.61s — too slow, reduce watched pairs
2026-02-23 00:40:33,017 [BLOCK] Block scan took 9.55s — too slow, reduce watched pairs
2026-02-23 00:40:42,630 [BLOCK] Block scan took 9.61s — too slow, reduce watched pairs
2026-02-23 00:40:53,245 [BLOCK] Block scan took 10.62s — too slow, reduce watched pairs
